1998,12,30,3,2208,2145,130,111,NW,354,N518US,142,146,112,19,23,MSP,EWR,1008,12,18,0,NA,0,\N,\N,\N,\N,\N,Y
1998,7,25,6,2043,2005,2313,2258,US,401,N436US,150,173,137,15,38,LGA,TPA,1011,3,10,0,NA,0,\N,\N,\N,\N,\N,Y
1998,3,13,5,1250,1245,1349,1343,UA,2734,N370UA,59,58,35,6,5,SFO,RNO,192,5,19,0,NA,0,\N,\N,\N,\N,\N,Y
1998,4,3,5,1420,1330,2018,1928,UA,144,N1845U,238,238,209,50,50,SFO,ORD,1846,10,19,0,NA,0,\N,\N,\N,\N,\N,Y
1998,7,11,6,716,720,919,915,NW,307,N318US,243,235,203,4,-4,MSP,LAX,1536,9,31,0,NA,0,\N,\N,\N,\N,\N,Y
1998,1,9,5,2201,0,2312,0,AA,1559,N417AA,71,79,48,-7,1,ORD,STL,258,4,19,0,NA,0,\N,\N,\N,\N,\N,Y
1998,5,25,1,928,930,1053,1040,US,1626,N997VJ,85,70,59,13,-2,PHL,BOS,280,7,19,0,NA,0,\N,\N,\N,\N,\N,Y
1998,6,5,5,2023,2016,2230,2236,TW,339,N9409F,247,260,226,-6,7,STL,PDX,1708,3,18,0,NA,0,\N,\N,\N,\N,\N,Y
1998,9,3,4,1142,1125,1504,1443,UA,252,N542UA,142,138,105,21,17,DEN,ORD,888,22,15,0,NA,0,\N,\N,\N,\N,\N,Y
1998,12,25,5,753,750,1035,1028,UA,221,N574UA,342,338,314,7,3,BWI,LAX,2329,16,12,0,NA,0,\N,\N,\N,\N,\N,Y
1998,6,14,7,1334,1315,1505,1442,CO,1193,N76753,211,207,185,23,19,IAH,LAX,1379,5,21,0,NA,0,\N,\N,\N,\N,\N,Y
1998,8,15,6,1635,1635,1752,1750,WN,1219,N514,77,75,62,2,0,PHX,BUR,369,2,13,0,NA,0,\N,\N,\N,\N,\N,Y
1998,7,5,7,2343,2336,703,704,US,28,N608AU,260,268,243,-1,7,LAX,PIT,2136,6,11,0,NA,0,\N,\N,\N,\N,\N,Y
1998,3,5,4,1655,1645,1704,1700,NW,996,N729RW,69,75,47,4,10,DTW,ORD,235,5,17,0,NA,0,\N,\N,\N,\N,\N,Y
1998,1,13,2,1649,1650,1953,1931,UA,1270,N509UA,124,101,108,22,-1,DEN,DFW,641,4,12,0,NA,0,\N,\N,\N,\N,\N,Y
1998,2,12,4,2021,2000,2257,2225,DL,1239,N8890Z,156,145,146,32,21,ALB,ATL,852,5,5,0,NA,0,\N,\N,\N,\N,\N,Y
