2001	4	25	3	803	800	1049	1105	DL	2330	N314D1	166	185	151	-16.0	3.0	PBI	BOS	1197	5	10	0	NA	0	\N	\N	\N	\N	\N	Y
2001	12	6	4	831	635	1133	933	AA	881	N078A1	182	178	144	120.0	116.0	JFK	MIA	1090	12	26	0	NA	0	\N	\N	\N	\N	\N	Y
2001	1	11	4	1816	1820	1925	1919	NW	1731	N9348@	129	119	89	6.0	-4.0	DAY	MSP	574	32	8	0	NA	0	\N	\N	\N	\N	\N	Y
2001	8	22	3	1033	934	1630	1537	AA	80	N371A1	237	243	215	53.0	59.0	SFO	ORD	1846	7	15	0	NA	0	\N	\N	\N	\N	\N	Y
2001	7	13	5	1202	1200	1317	1317	CO	1639	N73256	135	137	112	0.0	2.0	IAH	DEN	861	8	15	0	NA	0	\N	\N	\N	\N	\N	Y
2001	12	16	7	548	530	742	746	AA	90	N536A1	114	136	100	-4.0	18.0	DFW	ORD	802	6	8	0	NA	0	\N	\N	\N	\N	\N	Y
2001	10	8	1	2016	2015	2137	2152	DL	756	-N956D	141	157	124	-15.0	1.0	ATL	MSP	906	5	12	0	NA	0	\N	\N	\N	\N	\N	Y
2001	6	9	6	1406	1355	1536	1528	NW	611	N305‰‚	150	153	136	8.0	11.0	BWI	MSP	936	5	9	0	NA	0	\N	\N	\N	\N	\N	Y
2001	1	11	4	1540	1520	1631	1618	MQ	3217	-N330M	51	58	34	13.0	20.0	LAX	PSP	110	4	13	0	NA	0	\N	\N	\N	\N	\N	Y
2001	8	30	4	2103	2100	2306	2254	NW	555	N369NÊ	243	234	207	12.0	3.0	MEM	LAX	1619	9	27	0	NA	0	\N	\N	\N	\N	\N	Y
2001	11	21	3	1738	1715	2027	2010	WN	2419	N334@@	109	115	80	17.0	23.0	SJC	PHX	621	7	22	0	NA	0	\N	\N	\N	\N	\N	Y
2001	4	27	5	1424	1418	1916	1914	AA	1294	N515A1	232	236	191	2.0	6.0	DFW	BOS	1562	12	29	0	NA	0	\N	\N	\N	\N	\N	Y
2001	11	28	3	1627	1445	1816	1620	UA	521	N949‰1	169	155	143	116.0	102.0	BOS	ORD	867	13	13	0	NA	0	\N	\N	\N	\N	\N	Y
