iter	Logloss
0	0.68338752
1	0.673797695
2	0.6642654596
3	0.6553824634
4	0.6513020345
5	0.6477752548
6	0.6424441698
7	0.6373807712
8	0.6336134097
9	0.6306147265
10	0.6272909088
11	0.6219155205
12	0.6196856951
13	0.6181900106
14	0.615828786
15	0.612149889
16	0.6081252562
17	0.6045573949
18	0.5999908618
19	0.5968601638
20	0.5939669264
21	0.5906644449
22	0.5882350869
23	0.587428155
24	0.5843899761
25	0.5824035485
26	0.5809629693
27	0.5772086996
28	0.5765090601
29	0.5747727282
30	0.5739652503
31	0.5717807105
32	0.569941685
33	0.5683989372
34	0.5655099204
35	0.5645588955
36	0.5634717885
37	0.5596826484
38	0.5591765891
39	0.5579351991
40	0.5573376821
41	0.5557881825
42	0.554626382
43	0.5540148335
44	0.5520353416
45	0.5517210303
46	0.5513467225
47	0.550740642
48	0.5485043567
49	0.5474375682
50	0.545202813
51	0.5443541085
52	0.543901025
53	0.5417362834
54	0.5403931114
55	0.5390418067
56	0.536683852
57	0.534480948
58	0.5332923786
59	0.5316140864
60	0.5293551405
61	0.5265451674
62	0.5248672443
63	0.5233099519
64	0.5222721187
65	0.5208998801
66	0.5192079099
67	0.5180756361
68	0.5173035118
69	0.5159279211
70	0.5153855157
71	0.5149610319
72	0.5134505226
73	0.5130474054
74	0.512276148
75	0.511282418
76	0.5109100516
77	0.5094232999
78	0.5091936809
79	0.5084202076
80	0.50769659
81	0.5072402577
82	0.5065874616
83	0.5051339589
84	0.504763697
85	0.5034221054
86	0.5029421194
87	0.501764747
88	0.5010335672
89	0.498781017
90	0.4982584986
91	0.4980950348
92	0.4974547063
93	0.4966425402
94	0.4949017943
95	0.494053014
96	0.4930609546
97	0.4928159781
98	0.4920722191
99	0.4913282184
